case_id,duration_days,n_events,crop,state
KANNUR_Sapota,97,2,Sapota,KERALA
KANNUR_Tapioca (Cassava),201,10,Tapioca (Cassava),KERALA
KANNUR_Teak,0,1,Teak,KERALA
KANNUR_Tomato,335,6,Tomato,KERALA
KANNUR_Turmeric,167,8,Turmeric,KERALA
KASARGOD_Amaranthus/Grain Amaranthus,117,3,Amaranthus/Grain Amaranthus,KERALA
KASARGOD_Amarphophallus (Surankand/Elephant Foot Yam),0,1,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KASARGOD_Arecanut,337,52,Arecanut,KERALA
KASARGOD_Banana,337,15,Banana,KERALA
KASARGOD_Betel Vine,0,1,Betel Vine,KERALA
KASARGOD_Bhindi(Okra/Ladysfinger),0,1,Bhindi(Okra/Ladysfinger),KERALA
KASARGOD_Bitter Gourd,353,5,Bitter Gourd,KERALA
KASARGOD_Bottle Gourd,0,2,Bottle Gourd,KERALA
"KASARGOD_Bovine(Cow,Buffalo)",273,3,"Bovine(Cow,Buffalo)",KERALA
KASARGOD_Brinjal,197,2,Brinjal,KERALA
KASARGOD_Cashew,86,2,Cashew,KERALA
KASARGOD_Cauliflower,0,1,Cauliflower,KERALA
KASARGOD_Chillies,357,5,Chillies,KERALA
KASARGOD_China Astor,0,1,China Astor,KERALA
KASARGOD_Chrysanthemum,0,1,Chrysanthemum,KERALA
KASARGOD_Cocoa,0,1,Cocoa,KERALA
KASARGOD_Coconut,355,22,Coconut,KERALA
KASARGOD_Coffee,0,1,Coffee,KERALA
KASARGOD_Cowpea (Vegetable),95,5,Cowpea (Vegetable),KERALA
KASARGOD_Cucumber,158,3,Cucumber,KERALA
KASARGOD_Drum Stick,0,1,Drum Stick,KERALA
KASARGOD_Fresh Water,25,2,Fresh Water,KERALA
KASARGOD_Ginger,141,6,Ginger,KERALA
KASARGOD_Goat,0,1,Goat,KERALA
KASARGOD_Ivy Gourd,257,4,Ivy Gourd,KERALA
KASARGOD_Jasmine,0,1,Jasmine,KERALA
KASARGOD_Mango,129,4,Mango,KERALA
KASARGOD_Marigold,212,2,Marigold,KERALA
KASARGOD_Nutmeg,170,2,Nutmeg,KERALA
KASARGOD_Oil palm,0,1,Oil palm,KERALA
KASARGOD_Paddy (Dhan),142,10,Paddy (Dhan),KERALA
KASARGOD_Pepper,229,5,Pepper,KERALA
KASARGOD_Rubber,346,12,Rubber,KERALA
KASARGOD_Sorghum (Jowar/Great Millet),0,1,Sorghum (Jowar/Great Millet),KERALA
KASARGOD_Sweet Potato,0,1,Sweet Potato,KERALA
KASARGOD_Tapioca (Cassava),0,1,Tapioca (Cassava),KERALA
KASARGOD_Tomato,67,2,Tomato,KERALA
KASARGOD_Watermelon,0,1,Watermelon,KERALA
KOLLAM_Acid Lime,0,1,Acid Lime,KERALA
KOLLAM_Amaranthus/Grain Amaranthus,87,2,Amaranthus/Grain Amaranthus,KERALA
KOLLAM_Aonla,0,1,Aonla,KERALA
KOLLAM_Arecanut,244,4,Arecanut,KERALA
KOLLAM_Avacado,3,2,Avacado,KERALA
KOLLAM_Banana,349,37,Banana,KERALA
KOLLAM_Beekeeping,78,2,Beekeeping,KERALA
KOLLAM_Bhindi(Okra/Ladysfinger),0,1,Bhindi(Okra/Ladysfinger),KERALA
KOLLAM_Bitter Gourd,252,3,Bitter Gourd,KERALA
KOLLAM_Bottle Gourd,0,1,Bottle Gourd,KERALA
KOLLAM_Brinjal,0,1,Brinjal,KERALA
KOLLAM_Cashew,66,2,Cashew,KERALA
KOLLAM_Chillies,153,7,Chillies,KERALA
KOLLAM_Coconut,353,52,Coconut,KERALA
KOLLAM_Coffee,0,1,Coffee,KERALA
KOLLAM_Cowpea (Vegetable),268,12,Cowpea (Vegetable),KERALA
KOLLAM_Cucumber,249,4,Cucumber,KERALA
KOLLAM_Dog,0,1,Dog,KERALA
KOLLAM_Drum Stick,0,1,Drum Stick,KERALA
KOLLAM_Ginger,232,3,Ginger,KERALA
KOLLAM_Guava,339,3,Guava,KERALA
KOLLAM_Ivy Gourd,303,2,Ivy Gourd,KERALA
KOLLAM_Jack Fruit,333,11,Jack Fruit,KERALA
KOLLAM_Kiwi Fruit,0,1,Kiwi Fruit,KERALA
KOLLAM_Kokum,0,1,Kokum,KERALA
KOLLAM_Litchi,0,1,Litchi,KERALA
KOLLAM_Loquat,0,1,Loquat,KERALA
KOLLAM_Mango,350,15,Mango,KERALA
KOLLAM_Nutmeg,0,1,Nutmeg,KERALA
KOLLAM_POULTRY  FARM,0,1,POULTRY  FARM,KERALA
KOLLAM_Paddy (Dhan),0,1,Paddy (Dhan),KERALA
KOLLAM_Passion Fruit,0,1,Passion Fruit,KERALA
KOLLAM_Pea (Vegetable),0,1,Pea (Vegetable),KERALA
KOLLAM_Pepper,150,4,Pepper,KERALA
KOLLAM_Pineapple,0,1,Pineapple,KERALA
KOLLAM_Rose,0,1,Rose,KERALA
KOLLAM_Rubber,125,12,Rubber,KERALA
KOLLAM_Sugarcane (Noble Cane),157,2,Sugarcane (Noble Cane),KERALA
KOLLAM_Tapioca (Cassava),284,5,Tapioca (Cassava),KERALA
KOLLAM_Tomato,258,3,Tomato,KERALA
KOLLAM_Turmeric,329,3,Turmeric,KERALA
KOTTAYAM_Amaranthus/Grain Amaranthus,0,1,Amaranthus/Grain Amaranthus,KERALA
KOTTAYAM_Amarphophallus (Surankand/Elephant Foot Yam),297,3,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KOTTAYAM_Anthurium,0,1,Anthurium,KERALA
KOTTAYAM_Aonla,0,1,Aonla,KERALA
KOTTAYAM_Apple,0,1,Apple,KERALA
KOTTAYAM_Arecanut,222,11,Arecanut,KERALA
KOTTAYAM_Ash Gourd (Petha),0,1,Ash Gourd (Petha),KERALA
KOTTAYAM_Bail,0,1,Bail,KERALA
KOTTAYAM_Banana,328,48,Banana,KERALA
KOTTAYAM_Betel Vine,0,1,Betel Vine,KERALA
KOTTAYAM_Bhindi(Okra/Ladysfinger),248,12,Bhindi(Okra/Ladysfinger),KERALA
KOTTAYAM_Bitter Gourd,0,1,Bitter Gourd,KERALA
KOTTAYAM_Brinjal,132,3,Brinjal,KERALA
KOTTAYAM_Chillies,303,14,Chillies,KERALA
KOTTAYAM_Cinnamon,0,1,Cinnamon,KERALA
KOTTAYAM_Citrus,39,3,Citrus,KERALA
KOTTAYAM_Cocoa,138,3,Cocoa,KERALA
KOTTAYAM_Coconut,362,81,Coconut,KERALA
KOTTAYAM_Coffee,0,1,Coffee,KERALA
"KOTTAYAM_Colocasia (Arvi, Arbi)",225,3,"Colocasia (Arvi, Arbi)",KERALA
KOTTAYAM_Cowpea (Vegetable),292,14,Cowpea (Vegetable),KERALA
KOTTAYAM_Curry Leaf,41,2,Curry Leaf,KERALA
KOTTAYAM_Custard Apple,3,2,Custard Apple,KERALA
KOTTAYAM_Drum Stick,47,2,Drum Stick,KERALA
KOTTAYAM_Ginger,145,6,Ginger,KERALA
KOTTAYAM_Grape,0,2,Grape,KERALA
KOTTAYAM_Guava,64,2,Guava,KERALA
KOTTAYAM_Ivy Gourd,142,6,Ivy Gourd,KERALA
KOTTAYAM_Jack Fruit,342,16,Jack Fruit,KERALA
KOTTAYAM_Kokum,0,1,Kokum,KERALA
KOTTAYAM_Lemon,0,1,Lemon,KERALA
KOTTAYAM_Mango,270,28,Mango,KERALA
KOTTAYAM_Nutmeg,339,37,Nutmeg,KERALA
KOTTAYAM_Oats,0,1,Oats,KERALA
KOTTAYAM_Onion,0,1,Onion,KERALA
KOTTAYAM_Orange,162,3,Orange,KERALA
KOTTAYAM_Other,0,1,Other,KERALA
KOTTAYAM_Paddy (Dhan),343,13,Paddy (Dhan),KERALA
KOTTAYAM_Papaya,282,10,Papaya,KERALA
KOTTAYAM_Pea (Vegetable),0,1,Pea (Vegetable),KERALA
KOTTAYAM_Pepper,344,20,Pepper,KERALA
KOTTAYAM_Pineapple,0,1,Pineapple,KERALA
KOTTAYAM_Pomegranate,25,3,Pomegranate,KERALA
KOTTAYAM_Pumpkin,136,2,Pumpkin,KERALA
KOTTAYAM_Rose,14,3,Rose,KERALA
KOTTAYAM_Rubber,335,10,Rubber,KERALA
KOTTAYAM_Sapota,259,2,Sapota,KERALA
KOTTAYAM_Snake Gourd,2,2,Snake Gourd,KERALA
KOTTAYAM_Sweet Potato,0,1,Sweet Potato,KERALA
KOTTAYAM_Tapioca (Cassava),270,18,Tapioca (Cassava),KERALA
KOTTAYAM_Teak,167,2,Teak,KERALA
KOTTAYAM_Tomato,174,5,Tomato,KERALA
KOTTAYAM_Turmeric,0,1,Turmeric,KERALA
KOZHIKODE_Acid Lime,0,2,Acid Lime,KERALA
KOZHIKODE_Aloe Vera,0,1,Aloe Vera,KERALA
KOZHIKODE_Amaranthus/Grain Amaranthus,44,6,Amaranthus/Grain Amaranthus,KERALA
KOZHIKODE_Amarphophallus (Surankand/Elephant Foot Yam),0,1,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KOZHIKODE_Aonla,66,2,Aonla,KERALA
KOZHIKODE_Arecanut,337,43,Arecanut,KERALA
KOZHIKODE_Ash Gourd (Petha),73,7,Ash Gourd (Petha),KERALA
KOZHIKODE_Avacado,0,1,Avacado,KERALA
KOZHIKODE_Bail,0,1,Bail,KERALA
KOZHIKODE_Banana,340,45,Banana,KERALA
KOZHIKODE_Beekeeping,11,2,Beekeeping,KERALA
KOZHIKODE_Ber,6,3,Ber,KERALA
KOZHIKODE_Bhindi(Okra/Ladysfinger),351,7,Bhindi(Okra/Ladysfinger),KERALA
KOZHIKODE_Bitter Gourd,53,3,Bitter Gourd,KERALA
KOZHIKODE_Bottle Gourd,36,4,Bottle Gourd,KERALA
"KOZHIKODE_Bovine(Cow,Buffalo)",0,1,"Bovine(Cow,Buffalo)",KERALA
KOZHIKODE_Brinjal,299,7,Brinjal,KERALA
KOZHIKODE_Chillies,299,18,Chillies,KERALA
KOZHIKODE_Citrus,219,3,Citrus,KERALA
KOZHIKODE_Cocoa,112,3,Cocoa,KERALA
KOZHIKODE_Coconut,365,102,Coconut,KERALA
"KOZHIKODE_Colocasia (Arvi, Arbi)",0,1,"Colocasia (Arvi, Arbi)",KERALA
KOZHIKODE_Cowpea (Vegetable),307,21,Cowpea (Vegetable),KERALA
KOZHIKODE_Cucumber,203,8,Cucumber,KERALA
KOZHIKODE_Curry Leaf,219,5,Curry Leaf,KERALA
KOZHIKODE_Custard Apple,11,2,Custard Apple,KERALA
KOZHIKODE_DatePalm,0,1,DatePalm,KERALA
KOZHIKODE_Drum Stick,65,4,Drum Stick,KERALA
KOZHIKODE_Duck,140,3,Duck,KERALA
KOZHIKODE_Ginger,150,6,Ginger,KERALA
KOZHIKODE_Goat,0,1,Goat,KERALA
KOZHIKODE_Grape,0,1,Grape,KERALA
KOZHIKODE_Guava,271,6,Guava,KERALA
KOZHIKODE_Hibiscus (Gurhal),0,1,Hibiscus (Gurhal),KERALA
KOZHIKODE_Jack Fruit,221,9,Jack Fruit,KERALA
KOZHIKODE_Jamun,0,1,Jamun,KERALA
KOZHIKODE_Kokum,0,1,Kokum,KERALA
KOZHIKODE_Lemon,0,1,Lemon,KERALA
KOZHIKODE_Litchi,0,1,Litchi,KERALA
KOZHIKODE_Mango,333,40,Mango,KERALA
KOZHIKODE_Nutmeg,322,21,Nutmeg,KERALA
KOZHIKODE_Other,0,1,Other,KERALA
KOZHIKODE_Paddy (Dhan),0,1,Paddy (Dhan),KERALA
KOZHIKODE_Papaya,328,17,Papaya,KERALA
KOZHIKODE_Pea (Vegetable),0,1,Pea (Vegetable),KERALA
KOZHIKODE_Pepper,285,40,Pepper,KERALA
KOZHIKODE_Pineapple,78,3,Pineapple,KERALA
KOZHIKODE_Pomegranate,0,1,Pomegranate,KERALA
KOZHIKODE_Pumpkin,215,4,Pumpkin,KERALA
KOZHIKODE_Ridge Gourd,0,1,Ridge Gourd,KERALA
KOZHIKODE_Rubber,246,20,Rubber,KERALA
KOZHIKODE_Sapota,195,5,Sapota,KERALA
KOZHIKODE_Sunflower (suryamukhi),0,1,Sunflower (suryamukhi),KERALA
KOZHIKODE_Sweet Potato,0,1,Sweet Potato,KERALA
KOZHIKODE_Tapioca (Cassava),0,1,Tapioca (Cassava),KERALA
KOZHIKODE_Teak,0,1,Teak,KERALA
KOZHIKODE_Tomato,41,5,Tomato,KERALA
KOZHIKODE_Turkey,8,3,Turkey,KERALA
KOZHIKODE_Turmeric,168,8,Turmeric,KERALA
MALAPPURAM_Amaranthus/Grain Amaranthus,66,3,Amaranthus/Grain Amaranthus,KERALA
